#,Symbol,Weight,Price,Chg,% Chg
1,NVDA,13.27%,213.54,-1.66,-0.77%
2,AAPL,10.98%,292.22,-1.1,-0.37%
3,MSFT,7.80%,410.24,-4.88,-1.18%
4,AMZN,7.44%,270.52,-2.16,-0.79%
5,GOOGL,6.34%,396.08,-4.72,-1.18%
6,GOOG,5.88%,392.32,-4.73,-1.19%
7,AVGO,5.14%,424.48,-5.52,-1.28%
8,TSLA,4.07%,423.84,-4.51,-1.05%
9,META,3.92%,604.40,-5.23,-0.86%
10,WMT,2.65%,129.85,-0.58,-0.44%
11,MU,2.28%,789.10,42.29,5.66%
12,AMD,1.94%,464.34,9.15,2.01%
13,INTC,1.69%,131.47,6.55,5.24%
14,ASML,1.53%,1555.31,-36.71,-2.31%
15,COST,1.14%,1003.70,-5.09,-0.50%
16,CSCO,0.97%,96.25,-0.32,-0.33%
17,NFLX,0.93%,86.76,-0.73,-0.84%
18,LRCX,0.93%,289.23,-4.82,-1.64%
19,AMAT,0.89%,438.50,3.06,0.70%
20,PLTR,0.82%,134.40,-3.4,-2.47%
21,TXN,0.68%,291.19,3.39,1.18%
22,QCOM,0.64%,238.06,18.97,8.66%
23,KLAC,0.62%,1853.02,-16.17,-0.87%
24,SNDK,0.60%,1587.26,24.92,1.59%
25,LIN,0.59%,495.48,2.31,0.47%
26,ARM,0.56%,205.94,-7.33,-3.44%
27,PEP,0.54%,154.80,0.18,0.12%
28,TMUS,0.54%,193.38,-0.25,-0.13%
29,ADI,0.52%,414.50,-2.02,-0.49%
30,AMGN,0.46%,331.50,-0.2,-0.06%
31,STX,0.45%,787.00,4.36,0.56%
32,WDC,0.43%,488.02,8.02,1.67%
33,PANW,0.43%,205.99,-1.89,-0.91%
34,GILD,0.42%,130.89,-0.44,-0.34%
35,ISRG,0.41%,449.00,-1.06,-0.24%
36,APP,0.39%,457.80,-10.75,-2.29%
37,MRVL,0.37%,163.22,-6.91,-4.06%
38,SHOP,0.36%,108.48,-1.93,-1.75%
39,PDD,0.36%,98.56,-0.22,-0.22%
40,HON,0.35%,215.25,2.13,1.00%
41,CRWD,0.34%,520.79,-6.98,-1.32%
42,BKNG,0.33%,164.63,-1.31,-0.79%
43,SBUX,0.30%,104.25,-0.68,-0.65%
44,CEG,0.29%,308.50,4.87,1.60%
45,INTU,0.28%,393.36,-2.95,-0.74%
46,VRTX,0.28%,426.29,-3.53,-0.82%
47,ADBE,0.26%,250.97,-2.07,-0.82%
48,CDNS,0.25%,357.99,-4.71,-1.30%
49,SNPS,0.25%,509.08,-7.4,-1.43%
50,MAR,0.24%,351.08,-2.1,-0.59%
51,CMCSA,0.23%,25.39,-0.01,-0.02%
52,ADP,0.22%,212.13,-0.87,-0.41%
53,ABNB,0.21%,140.80,-0.69,-0.49%
54,MNST,0.21%,85.43,-0.86,-1.00%
55,CSX,0.21%,44.76,-0.07,-0.17%
56,MELI,0.21%,1640.22,7.7,0.47%
57,FTNT,0.21%,112.77,-1.3,-1.14%
58,MDLZ,0.20%,61.27,-0.28,-0.45%
59,MPWR,0.20%,1583.45,-17.39,-1.09%
60,ORLY,0.20%,92.75,-0.21,-0.23%
61,REGN,0.19%,713.91,-0.98,-0.14%
62,NXPI,0.19%,293.69,-1.06,-0.36%
63,ROST,0.18%,224.47,-1.34,-0.60%
64,AEP,0.18%,130.19,0.03,0.03%
65,DASH,0.18%,162.35,-1.58,-0.96%
66,DDOG,0.18%,197.32,-2.84,-1.42%
67,WBD,0.17%,27.09,-0.02,-0.06%
68,CTAS,0.17%,168.17,1.2,0.72%
69,MSTR,0.17%,189.24,1.65,0.88%
70,BKR,0.16%,64.65,0.76,1.19%
71,PCAR,0.15%,114.20,-0.11,-0.09%
72,FANG,0.14%,189.83,1.13,0.60%
73,MCHP,0.14%,98.50,-0.59,-0.60%
74,ADSK,0.13%,243.44,-1.06,-0.43%
75,FAST,0.13%,44.00,-0.17,-0.38%
76,FER,0.13%,69.93,-0.49,-0.70%
77,EA,0.13%,200.16,-0.28,-0.14%
78,XEL,0.13%,78.89,-0.5,-0.64%
79,EXC,0.11%,43.91,-0.0,-0.01%
80,IDXX,0.11%,559.98,-0.13,-0.02%
81,CCEP,0.11%,94.41,-0.16,-0.17%
82,ODFL,0.11%,201.00,2.67,1.35%
83,TTWO,0.10%,220.30,-0.15,-0.07%
84,TRI,0.10%,92.35,-0.59,-0.63%
85,PYPL,0.10%,45.23,-0.14,-0.32%
86,ALNY,0.10%,293.82,-1.23,-0.42%
87,KDP,0.10%,28.80,-0.03,-0.10%
88,ROP,0.09%,341.10,-2.22,-0.65%
89,PAYX,0.09%,93.85,-0.08,-0.09%
90,CPRT,0.08%,33.83,-0.11,-0.34%
91,AXON,0.08%,399.64,-3.9,-0.97%
92,WDAY,0.08%,126.75,-1.08,-0.84%
93,GEHC,0.07%,63.45,-0.02,-0.03%
94,KHC,0.07%,23.92,-0.04,-0.17%
95,CTSH,0.06%,51.49,-0.19,-0.37%
96,ZS,0.06%,151.00,-1.13,-0.74%
97,DXCM,0.06%,60.55,-0.06,-0.10%
98,VRSK,0.06%,171.20,-0.67,-0.39%
99,INSM,0.06%,102.10,0.75,0.74%
100,CHTR,0.05%,154.86,0.0,0.00%
101,CSGP,0.03%,32.73,-0.04,-0.12%
