#,Symbol,Weight,Price,Chg,% Chg
1,NVDA,7.37%,199.13,0.68,0.34%
2,AAPL,6.24%,279.25,-0.89,-0.32%
3,MSFT,4.67%,412.96,-1.48,-0.36%
4,AMZN,4.40%,268.91,0.65,0.24%
5,GOOGL,3.68%,385.96,0.27,0.07%
6,GOOG,3.42%,383.05,-0.17,-0.04%
7,AVGO,3.03%,419.73,-1.55,-0.37%
8,META,2.35%,607.83,-0.91,-0.15%
9,TSLA,2.23%,390.43,-0.39,-0.10%
10,WMT,1.59%,131.34,-0.26,-0.20%
11,BRK.B,1.56%,475.49,2.48,0.52%
12,LLY,1.28%,935.91,-27.42,-2.85%
13,JPM,1.27%,311.55,-0.92,-0.30%
14,XOM,0.97%,152.83,0.08,0.05%
15,MU,0.95%,555.53,13.32,2.46%
16,V,0.95%,327.75,-0.28,-0.09%
17,AMD,0.89%,358.76,-1.78,-0.49%
18,JNJ,0.83%,226.61,-0.58,-0.26%
19,ORCL,0.77%,176.61,4.78,2.78%
20,INTC,0.76%,99.11,-0.51,-0.51%
21,COST,0.68%,1008.70,-3.0,-0.30%
22,MA,0.67%,496.25,0.79,0.16%
23,CAT,0.63%,886.22,-3.45,-0.39%
24,NFLX,0.59%,91.92,-0.14,-0.15%
25,CVX,0.58%,190.96,0.33,0.17%
26,BAC,0.58%,53.06,-0.18,-0.34%
27,ABBV,0.55%,206.05,-0.55,-0.27%
28,CSCO,0.55%,91.64,-0.21,-0.23%
29,PLTR,0.54%,147.56,3.49,2.42%
30,PG,0.52%,146.62,-0.64,-0.43%
31,KO,0.51%,78.37,-0.21,-0.27%
32,UNH,0.51%,367.81,-0.97,-0.26%
33,HD,0.49%,323.42,-0.46,-0.14%
34,LRCX,0.49%,256.35,-0.37,-0.14%
35,AMAT,0.47%,389.88,0.8,0.20%
36,MS,0.46%,189.60,-0.57,-0.30%
37,GE,0.45%,286.26,-0.25,-0.09%
38,GEV,0.44%,1066.05,3.1,0.29%
39,MRK,0.42%,112.03,-0.13,-0.12%
40,GS,0.41%,922.94,-0.77,-0.08%
41,PM,0.40%,166.62,0.24,0.15%
42,TXN,0.39%,282.15,1.13,0.40%
43,WFC,0.38%,80.56,-0.25,-0.31%
44,RTX,0.36%,174.61,0.62,0.36%
45,LIN,0.36%,506.56,-1.36,-0.27%
46,KLAC,0.34%,1722.50,-3.76,-0.22%
47,ANET,0.33%,174.64,1.94,1.12%
48,AXP,0.33%,320.88,1.19,0.37%
49,IBM,0.33%,232.10,-0.1,-0.04%
50,C,0.33%,126.88,-0.56,-0.44%
51,PEP,0.33%,157.67,0.26,0.17%
52,TMUS,0.32%,195.71,-0.35,-0.18%
53,MCD,0.31%,287.45,0.81,0.28%
54,NEE,0.31%,96.88,-0.08,-0.08%
55,VZ,0.31%,48.06,-0.05,-0.09%
56,ADI,0.30%,399.70,2.01,0.51%
57,QCOM,0.28%,176.75,-0.26,-0.15%
58,DIS,0.28%,102.88,-0.2,-0.20%
59,T,0.28%,26.08,-0.04,-0.15%
60,SNDK,0.27%,1214.68,27.68,2.33%
61,BA,0.27%,225.70,-1.68,-0.74%
62,AMGN,0.27%,328.90,-0.92,-0.28%
63,APH,0.27%,142.94,0.64,0.45%
64,TMO,0.26%,467.00,-2.21,-0.47%
65,TJX,0.26%,156.59,-0.24,-0.15%
66,STX,0.26%,748.04,21.11,2.90%
67,ETN,0.25%,428.50,2.95,0.69%
68,BLK,0.25%,1063.00,1.32,0.12%
69,GILD,0.25%,131.67,0.02,0.02%
70,ISRG,0.25%,459.20,1.42,0.31%
71,SCHW,0.24%,91.37,-0.17,-0.19%
72,UNP,0.24%,265.99,-0.33,-0.12%
73,APP,0.24%,464.30,4.3,0.93%
74,DE,0.24%,577.53,0.27,0.05%
75,ABT,0.24%,89.52,0.06,0.07%
76,WELL,0.23%,218.55,1.64,0.76%
77,BX,0.23%,124.70,-1.65,-1.31%
78,UBER,0.23%,75.25,0.13,0.17%
79,CRM,0.23%,183.87,0.05,0.03%
80,COP,0.23%,123.35,0.16,0.13%
81,PFE,0.23%,26.39,0.06,0.23%
82,PANW,0.22%,181.50,0.42,0.23%
83,WDC,0.22%,433.54,2.02,0.47%
84,GLW,0.21%,161.30,3.04,1.92%
85,DELL,0.21%,209.54,-0.63,-0.30%
86,HON,0.21%,212.83,0.33,0.16%
87,BKNG,0.20%,170.50,0.87,0.51%
88,PLD,0.20%,140.46,-0.95,-0.68%
89,LOW,0.20%,233.49,0.16,0.07%
90,VRT,0.19%,330.25,1.94,0.59%
91,CB,0.19%,326.81,0.58,0.18%
92,SPGI,0.19%,427.00,0.94,0.22%
93,MO,0.19%,74.03,-0.52,-0.70%
94,DHR,0.19%,174.51,-0.64,-0.36%
95,COF,0.19%,191.69,-0.22,-0.11%
96,SBUX,0.18%,105.55,-0.36,-0.34%
97,BMY,0.18%,58.05,-0.17,-0.30%
98,LMT,0.18%,513.55,0.78,0.15%
99,PGR,0.18%,199.35,0.04,0.02%
100,CRWD,0.18%,455.75,0.12,0.03%
101,NEM,0.18%,108.00,-0.62,-0.57%
102,SYK,0.17%,295.50,0.77,0.26%
103,PWR,0.17%,752.23,10.02,1.35%
104,CEG,0.17%,309.45,1.64,0.53%
105,PH,0.17%,884.49,2.26,0.26%
106,ACN,0.17%,179.50,-0.33,-0.18%
107,INTU,0.17%,398.00,-1.05,-0.26%
108,SO,0.17%,96.73,0.03,0.03%
109,VRTX,0.16%,425.66,1.74,0.41%
110,TT,0.16%,488.05,1.56,0.32%
111,EQIX,0.16%,1082.01,-3.02,-0.28%
112,CVS,0.16%,82.07,-0.02,-0.02%
113,CME,0.16%,289.00,-0.54,-0.19%
114,MDT,0.16%,80.17,0.17,0.22%
115,ADBE,0.15%,250.78,0.07,0.03%
116,DUK,0.15%,128.50,-0.1,-0.08%
117,MCK,0.15%,815.01,0.99,0.12%
118,CMCSA,0.15%,27.11,-0.08,-0.28%
119,HWM,0.15%,239.45,-0.06,-0.03%
120,HCA,0.15%,432.50,-0.59,-0.14%
121,NOW,0.14%,91.39,0.23,0.25%
122,CDNS,0.14%,341.28,0.34,0.10%
123,MAR,0.14%,354.00,-0.97,-0.27%
124,SNPS,0.14%,488.16,-0.86,-0.18%
125,GD,0.14%,345.05,-0.79,-0.23%
126,KKR,0.14%,103.80,0.12,0.12%
127,WMB,0.14%,75.40,-0.14,-0.18%
128,WM,0.14%,228.50,-0.27,-0.12%
129,BK,0.14%,133.45,-0.33,-0.24%
130,CMI,0.14%,659.02,1.58,0.24%
131,FDX,0.14%,375.00,-18.67,-4.74%
132,JCI,0.14%,145.75,0.66,0.46%
133,PNC,0.13%,220.00,-0.71,-0.32%
134,UPS,0.13%,103.45,-4.12,-3.83%
135,ICE,0.13%,154.56,-0.19,-0.12%
136,USB,0.13%,56.04,-0.26,-0.46%
137,ADP,0.13%,213.60,-0.61,-0.28%
138,ABNB,0.13%,143.50,1.84,1.30%
139,SLB,0.13%,56.97,0.05,0.08%
140,AMT,0.13%,181.00,-0.61,-0.34%
141,BSX,0.13%,56.64,0.14,0.25%
142,CSX,0.13%,44.94,-0.15,-0.33%
143,FCX,0.12%,56.37,-0.18,-0.33%
144,NOC,0.12%,567.80,-0.34,-0.06%
145,ELV,0.12%,370.96,-1.72,-0.46%
146,MRSH,0.12%,166.95,0.77,0.46%
147,ORLY,0.12%,96.20,-0.47,-0.48%
148,MCO,0.12%,454.50,-1.27,-0.28%
149,MDLZ,0.12%,61.38,0.01,0.01%
150,SHW,0.12%,316.60,-1.4,-0.44%
151,MPWR,0.12%,1584.96,1.48,0.09%
152,CRH,0.12%,115.47,0.02,0.01%
153,DASH,0.12%,176.80,0.96,0.54%
154,EMR,0.12%,136.58,-0.87,-0.63%
155,CIEN,0.12%,539.35,4.06,0.76%
156,AEP,0.11%,138.09,1.19,0.87%
157,CI,0.11%,283.07,0.18,0.06%
