Symbol,% Weight,Shares
NVDA,13.02%,6346411
AAPL,10.72%,3848387
MSFT,8.78%,1946456
AMZN,6.14%,2564838
GOOGL,4.84%,1536345
AVGO,4.44%,1240520
GOOG,3.88%,1238386
META,3.09%,575398
MU,2.62%,295497
JPM,2.32%,702207
TSLA,2.30%,737577
LLY,2.23%,207299
BRK.B,2.21%,480372
AMD,2.00%,427263
XOM,1.58%,1085971
JNJ,1.50%,630686
V,1.45%,434885
INTC,1.21%,1294419
WMT,1.21%,1148717
MA,1.10%,211382
CSCO,1.05%,1034842
ABBV,1.05%,462837
COST,1.02%,116273
BAC,1.00%,1710636
LRCX,0.99%,327720
AMAT,0.96%,207956
PLTR,0.95%,601432
CAT,0.94%,120702
GE,0.92%,273313
CVX,0.89%,490488
UNH,0.87%,237912
KO,0.81%,1014539
PG,0.81%,610132
HD,0.81%,260983
MRK,0.80%,647104
NFLX,0.79%,1103227
GS,0.73%,77190
PM,0.71%,408263
GEV,0.68%,70399
WFC,0.65%,801821
KLAC,0.63%,342115
MS,0.62%,313964
ORCL,0.61%,444394
TXN,0.61%,238361
SNDK,0.58%,38746
LIN,0.53%,121156
IBM,0.53%,246234
VZ,0.48%,1094123
MCD,0.46%,186059
PEP,0.46%,357863
QCOM,0.42%,276204
